"periode","demande brute","demande nette"
1243,51764.000,51764.000
1244,57654.500,57654.500
1245,56266.000,56266.000
1246,53577.500,53577.500
1247,52116.000,52116.000
1248,54173.000,54173.000
1249,53583.500,53583.500
1250,51113.500,51113.500
1251,50534.000,50534.000
1252,48448.500,48448.500
1253,47312.500,47312.500
1254,48654.500,48654.500
1255,52943.000,52943.000
1256,58128.500,58128.500
1257,61115.000,61115.000
1258,62995.500,62995.500
1259,63227.500,63227.500
1260,63339.000,63339.000
1261,64568.000,64568.000
1262,64012.500,64012.500
1263,61982.500,61982.500
1264,59955.000,59955.000
1265,58644.000,58644.000
1266,58026.500,58026.500
1267,60280.000,60280.000
1268,64801.000,64801.000
1269,61464.000,61464.000
1270,57592.000,57592.000
1271,55555.000,55555.000
1272,57370.500,57370.500
1273,56026.500,56026.500
1274,52932.500,52932.500
1275,52400.000,52400.000
1276,50198.000,50198.000
1277,48982.500,48982.500
1278,50237.000,50237.000
1279,54559.500,54559.500
1280,59609.000,59609.000
1281,62244.000,62244.000
1282,62893.000,62893.000
1283,61824.000,61824.000
1284,60595.500,60595.500
1285,60650.000,60650.000
1286,59613.500,59613.500
1287,57170.500,57170.500
1288,54898.500,54898.500
1289,53273.000,53273.000
1290,52117.000,52117.000
1291,54449.000,54449.000
1292,60883.000,60883.000
1293,58881.500,58881.500
1294,55010.000,55010.000
1295,53241.500,53241.500
1296,55411.000,55411.000
1297,54562.000,54562.000
1298,51740.000,51740.000
1299,51340.000,51340.000
1300,49282.000,49282.000
1301,48067.500,48067.500
1302,49211.000,49211.000
1303,53309.500,53309.500
1304,57926.000,57926.000
1305,60591.500,60591.500
1306,61424.000,61424.000
1307,60136.500,60136.500
1308,58850.500,58850.500
1309,58900.000,58900.000
1310,57679.000,57679.000
1311,55346.000,55346.000
1312,52953.000,52953.000
1313,51392.000,51392.000
1314,50798.000,50798.000
1315,53532.500,53532.500
1316,60137.500,60137.500
1317,57840.000,57840.000
1318,54133.000,54133.000
1319,52410.500,52410.500
1320,54524.000,54524.000
1321,53755.500,53755.500
1322,51073.000,51073.000
1323,50719.000,50719.000
1324,48524.000,48524.000
1325,47397.500,47397.500
1326,48745.000,48745.000
1327,52782.000,52782.000
1328,58035.500,58035.500
1329,60700.000,60700.000
1330,61193.000,61193.000
1331,60097.500,60097.500
1332,59287.500,59287.500
1333,59511.500,59511.500
1334,58569.000,58569.000
1335,56212.000,56212.000
1336,54172.000,54172.000
1337,52991.000,52991.000
1338,52873.500,52873.500
1339,55686.000,55686.000
1340,61563.000,61563.000
1341,59087.000,59087.000
1342,55482.500,55482.500
1343,53707.500,53707.500
1344,55684.000,55684.000
1345,54836.000,54836.000
1346,52091.000,52091.000
1347,51754.500,51754.500
1348,49691.500,49691.500
1349,48620.000,48620.000
1350,49907.000,49907.000
1351,54148.500,54148.500
1352,59595.500,59595.500
1353,62520.500,62520.500
1354,63327.500,63327.500
1355,62173.500,62173.500
1356,60934.500,60934.500
1357,60897.000,60897.000
1358,59936.500,59936.500
1359,57499.000,57499.000
1360,55174.500,55174.500
1361,53722.500,53722.500
1362,53678.000,53678.000
1363,56590.500,56590.500
1364,61953.500,61953.500
1365,60339.000,60339.000
1366,57037.500,57037.500
1367,55696.500,55696.500
1368,57812.000,57812.000
1369,57106.000,57106.000
1370,54244.000,54244.000
1371,53552.000,53552.000
1372,51315.500,51315.500
1373,49912.000,49912.000
1374,50322.000,50322.000
1375,52140.500,52140.500
1376,54563.500,54563.500
1377,56799.000,56799.000
1378,58730.000,58730.000
1379,58416.000,58416.000
1380,57257.000,57257.000
1381,57955.000,57955.000
1382,56914.000,56914.000
1383,53562.500,53562.500
1384,51271.000,51271.000
1385,49872.000,49872.000
1386,49810.500,49810.500
1387,52952.500,52952.500
1388,59677.000,59677.000
1389,59161.000,59161.000
1390,56429.500,56429.500
1391,55228.000,55228.000
1392,57699.000,57699.000
1393,57063.000,57063.000
1394,54368.500,54368.500
1395,53830.000,53830.000
1396,51664.000,51664.000
1397,50168.500,50168.500
1398,50075.000,50075.000
1399,51363.500,51363.500
1400,52850.000,52850.000
1401,54301.500,54301.500
1402,56338.000,56338.000
1403,56760.000,56760.000
1404,56130.000,56130.000
1405,56497.500,56497.500
1406,54935.000,54935.000
1407,50543.000,50543.000
