Date;Heure;RES11 (+ RES11WE);RES2 (+ RES5);RES2WE;RES3;RES4
12/01/2021;11;860.2583469;1147.037211;1127.266195;537.072142;710.5172133
12/01/2021;12;865.1156166;1271.797359;1238.844312;543.8558991;694.8125717
12/01/2021;13;809.7310203;1244.705002;1236.648807;504.6009095;647.0593117
12/01/2021;14;770.2415481;1154.889758;1143.645738;472.7403228;606.626615
12/01/2021;15;744.434669;1109.215324;1053.161017;467.6183908;581.2917155
12/01/2021;16;758.8190066;1084.601752;1021.303587;480.9897888;583.8032924
12/01/2021;17;812.3904203;1124.600118;1082.28123;523.3092784;612.988327
12/01/2021;18;913.0712874;1234.782904;1208.53974;586.3797033;671.3087592
12/01/2021;19;975.3817819;1277.352111;1277.92872;622.134694;687.6104671
12/01/2021;20;918.9366216;1201.003056;1226.79426;588.8752009;649.5717812
12/01/2021;21;817.2627586;1162.503857;1189.363656;542.4763166;592.129399
12/01/2021;22;718.49479;1218.334283;1277.497824;1248.256671;526.4776589
12/01/2021;23;632.3303365;1330.863482;1388.635353;1054.069205;482.8510321
13/01/2021;0;582.774169;1277.946953;1259.804277;819.5443459;471.6784667
13/01/2021;1;555.795436;1220.701429;1227.789716;665.9776744;509.5574609
13/01/2021;2;547.0810986;1170.023495;1174.749968;584.4528885;523.0131972
13/01/2021;3;545.3455318;1037.3765;1016.547051;543.3858234;503.0202475
13/01/2021;4;554.7912122;964.2824853;947.0190799;532.3943654;491.1731388
13/01/2021;5;577.3503901;969.7349777;968.7668527;542.237651;497.7364695
13/01/2021;6;637.7804757;1038.057097;1072.023852;472.9282024;536.4730879
13/01/2021;7;725.9999477;1051.567101;1140.78224;503.3524266;578.107605
13/01/2021;8;776.2868741;1026.089051;1130.946536;508.8238583;623.2449045
13/01/2021;9;791.7334693;1018.218029;1091.777815;491.439502;636.5601826
13/01/2021;10;786.5122523;991.4077705;1054.01575;473.8181861;629.3547758
13/01/2021;11;786.5950743;1003.857822;1046.238345;474.8699587;623.5776029
13/01/2021;12;806.6590656;1135.723155;1189.184661;493.3953966;613.428459
13/01/2021;13;750.1095355;1111.600248;1180.15967;455.6802805;571.4847001
13/01/2021;14;710.5618556;1019.550958;1095.131422;431.6021024;535.0830612
13/01/2021;15;686.6038781;978.1059254;1003.394926;421.4825201;508.8026294
13/01/2021;16;694.8770254;952.5155112;970.8563521;430.0447267;517.7739265
